Product Name;Product Key;Id;Name;Type;Value;isHidden;isFrozen;Term In Product;Value in TS;
Investment Portfolio;portfolio;assetAllocation;Asset Allocation;asset_allocation;stock60_bond40;-;-;+;;
Investment Portfolio;portfolio;contribution;Einzahlung;value;0.0;+;-;+;;
Investment Portfolio;portfolio;contributionEndDate;Ende Einzahlung;date;;+;-;+;;
Investment Portfolio;portfolio;contributionPeriodicity;Periodiziät der Einzahlung;periodicity;;+;-;+;;
Investment Portfolio;portfolio;contributionStartDate;Start Einzahlung;date;;+;-;+;;
Investment Portfolio;portfolio;managementFee;Management Fee;percentage;2.0;-;-;+;;
Investment Portfolio;portfolio;performanceFee;Performance Fee;percentage;20.0;-;-;+;;
Investment Portfolio;portfolio;withdrawal;Auszahlung;amount;;+;-;+;;
Investment Portfolio;portfolio;withdrawalEndDate;Ende Auszahlung;date;;+;-;+;;
Investment Portfolio;portfolio;withdrawalPeriodicity;Periodizität der Auszahlung;periodicity;;+;-;+;;
Investment Portfolio;portfolio;withdrawalStartDate;Start Auszahlung;date;;+;-;+;;
Liability;liability;interestRate;Zinssatz;percentage;0.0;-;-;+;;
Loan;loan;interestRate;Zinssatz;percentage;4.0;-;-;+;;
Nebenerwerbseinkommen;chSecondarySalary;annualGrossIncome;Jährliches Bruttoeinkommen;value;;-;-;-;;
Nebenerwerbseinkommen;chSecondarySalary;annualNetIncome;Jährliches Nettoeinkommen;value;;-;-;-;;
Payment;payment;amount;Betrag;value;;-;-;-;;
Payment;payment;periodicity;Periodizität;periodicity;once;+;+;+;;
Pensionskasse;chPillarTwo;annualPension;Rente;value;;-;-;-;;
Pensionskasse;chPillarTwo;availablePurchase;Möglicher Einkauf (auf Rentenalter);value;0.0;-;-;-;0.0;
Pensionskasse;chPillarTwo;capitalWithdrawal;Kapitalbezug (in %);percentage;0.0;-;-;-;0.0;
Pensionskasse;chPillarTwo;conversionRate;Umwandlungssatz;percentage;;-;-;-;;
Pensionskasse;chPillarTwo;homeOwnership;Bezug Wohneigentum;value;0.0;-;-;-;0.0;
Pensionskasse;chPillarTwo;projectedVestedBenefits;Prognostiziertes Freizügigkeitsguthaben;value;;-;-;-;;
Pensionskasse;chPillarTwo;retirementAge;Rentenalter (58 .. 65);integer;;-;-;-;;
Pensionskasse;chPillarTwo;statementDate;Datum des PK Auszugs;date;;-;-;-;;
Profit Share;profitShare;amount;Betrag;value;;-;-;-;;
Profit Share;profitShare;fromHolding;Quelle;holding;;-;-;-;;
Profit Share;profitShare;periodicity;Periodizität;periodicity;yearly;+;+;+;;
Profit Share;profitShare;seqNr;Reihenfolge;integer;;-;-;-;;
Profit Share;profitShare;toHolding;Ziel;holding;;-;-;-;;
Rent;rent;amount;Betrag;value;;-;-;-;;
Rent;rent;periodicity;Periodizität;periodicity;yearly;-;-;+;;
Savings Plan;savingsPlan;assetAllocation;Asset Allocation;asset_allocation;cash100;-;-;+;;
Savings Plan;savingsPlan;contribution;Einzahlung;value;;-;-;-;;
Savings Plan;savingsPlan;contributionEndDate;Ende Einzahlung;date;;-;-;-;;
Savings Plan;savingsPlan;contributionPeriodicity;Periodiziät der Einzahlung;periodicity;yearly;-;-;+;;
Savings Plan;savingsPlan;contributionStartDate;Start Einzahlung;date;;-;-;-;;
Savings Plan;savingsPlan;managementFee;Management Fee;percentage;0.0;+;-;+;;
Savings Plan;savingsPlan;performanceFee;Performance Fee;percentage;0.0;+;-;+;;
Savings Plan;savingsPlan;withdrawal;Auszahlung;amount;;-;-;-;;
Savings Plan;savingsPlan;withdrawalEndDate;Ende Auszahlung;date;;-;-;-;;
Savings Plan;savingsPlan;withdrawalPeriodicity;Periodizität der Auszahlung;periodicity;;-;-;-;;
Savings Plan;savingsPlan;withdrawalStartDate;Start Auszahlung;date;;-;-;-;;
Steuern CH;chTax;hhChildCareCosts;HH Kosten Kinderbetreuung;value;0.0;-;-;-;0.0;
Steuern CH;chTax;hhDeductionInsurance;HH Versicherungsprämien;value;0.0;-;-;-;0.0;
Steuern CH;chTax;hhDeductionOther;HH Übrige Abzüge;value;0.0;-;-;-;0.0;
Steuern CH;chTax;p1MainMealCosts;P1 Verpflegungskosten Haupterwerb;value;0.0;-;-;-;0.0;
Steuern CH;chTax;p1MainOtherExpenses;P1 Übrige Berufsauslagen Haupterwerb;value;0.0;-;-;-;0.0;
Steuern CH;chTax;p1MainTravelCosts;P1 Fahrkosten Haupterwerb;value;0.0;-;-;-;0.0;
Steuern CH;chTax;p1SecondaryExpenses;P1 Berufsauslagen Nebenerwerb;value;0.0;-;-;-;0.0;
Steuern CH;chTax;p2MainMealCosts;P2 Verpflegungskosten Haupterwerb;value;0.0;-;-;-;0.0;
Steuern CH;chTax;p2MainOtherExpenses;P2 Übrige Berufsauslagen Haupterwerb;value;0.0;-;-;-;0.0;
Steuern CH;chTax;p2MainTravelCosts;P2 Fahrkosten Haupterwerb;value;0.0;-;-;-;0.0;
Steuern CH;chTax;p2SecondaryExpenses;P2 Berufsauslagen Nebenerwerb;value;0.0;-;-;-;0.0;
Säule 3a Depot;chPillar3aPortfolio;assetAllocation;Asset Allocation;asset_allocation;stock60_bond40;-;-;+;;
Säule 3a Depot;chPillar3aPortfolio;contribution;Einzahlung;value;;-;-;-;;
Säule 3a Depot;chPillar3aPortfolio;contributionEndDate;Ende Einzahlung;date;;-;-;-;;
Säule 3a Depot;chPillar3aPortfolio;contributionPeriodicity;Periodiziät der Einzahlung;periodicity;yearly;+;+;+;;
Säule 3a Depot;chPillar3aPortfolio;contributionStartDate;Start Einzahlung;date;;-;-;-;;
Säule 3a Depot;chPillar3aPortfolio;managementFee;Management Fee;percentage;0.0;+;+;+;;
Säule 3a Depot;chPillar3aPortfolio;performanceFee;Performance Fee;percentage;0.0;+;+;+;;
Säule 3a Depot;chPillar3aPortfolio;withdrawal;Auszahlung;amount;;-;-;-;;
Säule 3a Depot;chPillar3aPortfolio;withdrawalEndDate;Ende Auszahlung;date;;+;-;+;;
Säule 3a Depot;chPillar3aPortfolio;withdrawalPeriodicity;Periodizität der Auszahlung;periodicity;once;+;-;+;;
Säule 3a Depot;chPillar3aPortfolio;withdrawalStartDate;Start Auszahlung;date;;+;-;+;;
Säule 3a Konto;chPillar3aAccount;assetAllocation;Asset Allocation;asset_allocation;cash100;+;+;+;;
Säule 3a Konto;chPillar3aAccount;contribution;Einzahlung;value;;+;-;+;;
Säule 3a Konto;chPillar3aAccount;contributionEndDate;Ende Einzahlung;date;;+;-;+;;
Säule 3a Konto;chPillar3aAccount;contributionPeriodicity;Periodiziät der Einzahlung;periodicity;yearly;+;+;+;;
Säule 3a Konto;chPillar3aAccount;contributionStartDate;Start Einzahlung;date;;+;-;+;;
Säule 3a Konto;chPillar3aAccount;managementFee;Management Fee;percentage;0.0;+;+;+;;
Säule 3a Konto;chPillar3aAccount;performanceFee;Performance Fee;percentage;0.0;+;+;+;;
Säule 3a Konto;chPillar3aAccount;withdrawal;Auszahlung;amount;;-;-;-;;
Säule 3a Konto;chPillar3aAccount;withdrawalEndDate;Ende Auszahlung;date;;+;-;+;;
Säule 3a Konto;chPillar3aAccount;withdrawalPeriodicity;Periodizität der Auszahlung;periodicity;once;+;-;+;;
Säule 3a Konto;chPillar3aAccount;withdrawalStartDate;Start Auszahlung;date;;+;-;+;;
Transfer;transfer;amount;Betrag;value;;-;-;-;;
Transfer;transfer;fromHolding;Quelle;holding;;-;-;-;;
Transfer;transfer;periodicity;Periodizität;periodicity;yearly;-;-;+;;
Transfer;transfer;toHolding;Ziel;holding;;-;-;-;;
Verbrauchsvermögenswert;depreciatingAsset;insuranceRate;Versicherungskosten;percentage;;-;-;-;;
Verbrauchsvermögenswert;depreciatingAsset;maintenanceRate;Instandhaltungskosten;percentage;;-;-;-;;
Verbrauchsvermögenswert;depreciatingAsset;yieldRate;Zinssatz;percentage;;-;-;-;;
Wachstumsvermögenswert;appreciatingAsset;insuranceRate;Versicherungskosten;percentage;;-;-;-;;
Wachstumsvermögenswert;appreciatingAsset;maintenanceRate;Instandhaltungskosten;percentage;;-;-;-;;
Wachstumsvermögenswert;appreciatingAsset;yieldRate;Zinssatz;percentage;;-;-;-;;
Zweite Hypothek;chSecondMortgage;interestRate;Zinssatz;percentage;3.0;-;-;+;;

